idMonitoramento;porcentagem;dataHora;fkComponente;fkMaquina;fkPlanoEmpresa;fkTipoMaquina;fkEmpresaMaquina;
204;59.7;28/11/2023 14:37;3;1;1;1;1;
205;59.7;28/11/2023 14:37;3;1;1;1;1;
206;58.9;28/11/2023 14:37;3;1;1;1;1;
207;59;28/11/2023 14:37;3;1;1;1;1;
208;59;28/11/2023 14:37;3;1;1;1;1;
209;59;28/11/2023 14:37;3;1;1;1;1;
210;59;28/11/2023 14:37;3;1;1;1;1;
211;58.9;28/11/2023 14:37;3;1;1;1;1;
212;59;28/11/2023 14:37;3;1;1;1;1;
213;59;28/11/2023 14:37;3;1;1;1;1;
214;59;28/11/2023 14:37;3;1;1;1;1;
215;59;28/11/2023 14:37;3;1;1;1;1;
216;58.9;28/11/2023 14:37;3;1;1;1;1;
217;58.9;28/11/2023 14:37;3;1;1;1;1;
218;58.9;28/11/2023 14:38;3;1;1;1;1;
219;59;28/11/2023 14:38;3;1;1;1;1;
220;58.9;28/11/2023 14:38;3;1;1;1;1;
221;58.9;28/11/2023 14:38;3;1;1;1;1;
222;59;28/11/2023 14:38;3;1;1;1;1;
223;59;28/11/2023 14:38;3;1;1;1;1;
224;58.9;28/11/2023 14:38;3;1;1;1;1;
225;59.5;28/11/2023 14:38;3;1;1;1;1;
226;59.5;28/11/2023 14:38;3;1;1;1;1;
227;59.5;28/11/2023 14:38;3;1;1;1;1;
228;59.5;28/11/2023 14:38;3;1;1;1;1;
229;59.5;28/11/2023 14:38;3;1;1;1;1;
230;59.5;28/11/2023 14:38;3;1;1;1;1;
231;59.5;28/11/2023 14:38;3;1;1;1;1;
232;59.4;28/11/2023 14:38;3;1;1;1;1;
233;59.4;28/11/2023 14:38;3;1;1;1;1;
234;59.4;28/11/2023 14:38;3;1;1;1;1;
235;59.4;28/11/2023 14:38;3;1;1;1;1;
236;59.4;28/11/2023 14:38;3;1;1;1;1;
237;59.5;28/11/2023 14:38;3;1;1;1;1;
238;59.5;28/11/2023 14:38;3;1;1;1;1;
239;59.2;28/11/2023 14:38;3;1;1;1;1;
240;59.4;28/11/2023 14:38;3;1;1;1;1;
241;59.4;28/11/2023 14:38;3;1;1;1;1;
242;59.2;28/11/2023 14:38;3;1;1;1;1;
243;59.2;28/11/2023 14:38;3;1;1;1;1;
244;59.2;28/11/2023 14:38;3;1;1;1;1;
245;59.2;28/11/2023 14:38;3;1;1;1;1;
246;59.1;28/11/2023 14:39;3;1;1;1;1;
247;59.2;28/11/2023 14:39;3;1;1;1;1;
248;59.7;28/11/2023 14:39;3;1;1;1;1;
249;59.7;28/11/2023 14:39;3;1;1;1;1;
250;59.9;28/11/2023 14:39;3;1;1;1;1;
251;60;28/11/2023 14:39;3;1;1;1;1;
252;59.7;28/11/2023 14:39;3;1;1;1;1;
253;59.6;28/11/2023 14:39;3;1;1;1;1;
